OCR_LangCode,OCR_LanguageName,NLTK_Language,spacy_LangCode
afr,Afrikaans,,
amh,Amharic,,
ara,Arabic,arabic,
asm,Assamese,,
aze,Azerbaijani,azerbaijani,
aze_cyrl,Azerbaijani - Cyrilic,,
bel,Belarusian,,
ben,Bengali,bengali,
bod,Tibetan,,
bos,Bosnian,,
bre,Breton,,
bul,Bulgarian,,
cat,Catalan; Valencian,catalan,ca
ceb,Cebuano,,
ces,Czech,,
chi_sim,Chinese - Simplified,chinese,zh
chi_tra,Chinese - Traditional,chinese,zh
chr,Cherokee,,
cos,Corsican,,
cym,Welsh,,
dan,Danish,danish,da
deu,German,,
deu_latf,German (Fraktur Latin),,
dzo,Dzongkha,,
ell,"Greek, Modern (1453-)",greek,el
eng,English,english,en
enm,"English, Middle (1100-1500)",english,en
epo,Esperanto,,
equ,Math / equation detection module,,
est,Estonian,,
eus,Basque,,
fao,Faroese,,
fas,Persian,,
fil,Filipino (old - Tagalog),,
fin,Finnish,finnish,fi
fra,French,french,fr
frk,German - Fraktur (now deu_latf),german,de
frm,"French, Middle (ca.1400-1600)",french,fr
fry,Western Frisian,,
gla,Scottish Gaelic,,
gle,Irish,,
glg,Galician,,
grc,"Greek, Ancient (to 1453) (contrib)",greek,el
guj,Gujarati,,
hat,Haitian; Haitian Creole,,
heb,Hebrew,hebrew,
hin,Hindi,,
hrv,Croatian,,hr
hun,Hungarian,hungarian,
hye,Armenian,,
iku,Inuktitut,,
ind,Indonesian,indonesian,
isl,Icelandic,,
ita,Italian,italian,it
ita_old,Italian - Old,italian,it
jav,Javanese,,
jpn,Japanese,,ja
kan,Kannada,,
kat,Georgian,,
kat_old,Georgian - Old,,
kaz,Kazakh,kazakh,
khm,Central Khmer,,
kir,Kirghiz; Kyrgyz,,
kmr,Kurmanji (Kurdish - Latin Script),,
kor,Korean,,ko
kor_vert,Korean (vertical),,ko
lao,Lao,,
lat,Latin,,
lav,Latvian,,
lit,Lithuanian,,lt
ltz,Luxembourgish,,
mal,Malayalam,,
mar,Marathi,,
mkd,Macedonian,,mk
mlt,Maltese,,
mon,Mongolian,,
mri,Maori,,
msa,Malay,,
mya,Burmese,,
nep,Nepali,nepali,
nld,Dutch; Flemish,dutch,nl
nor,Norwegian,norwegian,nb
oci,Occitan (post 1500),,
ori,Oriya,,
osd,Orientation and script detection module,,
pan,Panjabi; Punjabi,,
pol,Polish,,pl
por,Portuguese,portuguese,pt
pus,Pushto; Pashto,,
que,Quechua,,
ron,Romanian; Moldavian; Moldovan,romanian,ro
rus,Russian,russian,ru
san,Sanskrit,,
sin,Sinhala; Sinhalese,,
slk,Slovak,,
slv,Slovenian,slovene,sl
snd,Sindhi,,
spa,Spanish; Castilian,spanish,es
spa_old,Spanish; Castilian - Old,spanish,es
sqi,Albanian,,
srp,Serbian,,
srp_latn,Serbian - Latin,,
sun,Sundanese,,
swa,Swahili,,
swe,Swedish,swedish,sv
syr,Syriac,,
tam,Tamil,,
tat,Tatar,,
tel,Telugu,,
tgk,Tajik,tajik,
tha,Thai,,
tir,Tigrinya,,
ton,Tonga,,
tur,Turkish,turkish,
uig,Uighur; Uyghur,,
ukr,Ukrainian,,uk
urd,Urdu,,
uzb,Uzbek,,
uzb_cyrl,Uzbek - Cyrilic,,
vie,Vietnamese,,
yid,Yiddish,,
yor,Yoruba,,
